"debut";"fin";"Aquitaine";"Austrasie";"Bourgogne";"Neustrie";"Provence";"autres";"ecclesiastiques";"nobles"
"162";585;585;0;0;1;0;0;0;1;0
"163";487;515;0;0;1;0;0;1;0;0
"164";570;570;0;0;1;0;0;1;0;0
"165";584;614;0;0;1;0;0;0;1;0
"166";NA;515;0;0;1;0;0;0;1;0
"167";549;574;1;0;0;0;0;1;0;0
"168";546;549;0;0;1;0;0;1;0;0
"169";NA;NA;0;0;0;0;0;0;0;0
"170";580;610;0;0;1;0;0;0;1;0
"171";604;614;0;0;0;0;1;1;0;0
"172";533;541;0;0;0;1;0;1;0;0
"173";549;551;1;0;0;0;0;1;0;0
"174";585;587;1;0;0;0;0;1;0;0
"175";541;541;0;0;0;1;0;0;1;0
"176";551;560;1;0;0;0;0;0;1;0
"177";581;581;0;0;0;0;1;0;1;0
"178";NA;NA;0;0;0;0;0;0;0;0
"179";555;576;0;0;0;1;0;1;0;0
"180";551;570;1;0;0;0;0;0;1;0
"181";585;585;0;0;1;0;0;0;1;0
"182";555;587;1;0;0;0;0;0;1;0
"183";574;574;0;0;0;1;0;1;0;0
"184";590;590;0;0;0;1;0;1;0;0
"186";515;517;0;0;1;0;0;0;0;1
"187";614;652;0;0;0;1;0;1;0;0
"189";614;614;0;1;0;0;0;1;0;0
"191";576;584;0;0;0;1;0;1;0;0
"192";614;614;0;0;1;0;0;1;0;0
"193";585;589;0;0;1;0;0;0;0;1
"194";573;591;0;0;0;1;0;0;1;0
"195";490;500;0;0;1;0;0;0;1;0
"196";585;585;1;0;0;0;0;1;0;0
"197";538;538;0;0;1;0;0;1;0;0
"198";541;559;0;0;0;0;1;1;0;0
"200";585;585;0;0;1;0;0;0;1;0
"201";500;507;0;1;0;0;0;1;0;0
"202";506;506;1;0;0;0;0;1;0;0
"204";NA;510;0;0;0;1;0;1;0;0
"205";NA;507;1;0;0;0;0;0;0;1
"206";490;520;0;0;1;0;0;1;0;0
"207";603;611;1;0;0;0;0;1;0;0
"208";585;585;0;0;1;0;0;0;1;0
"209";455;486;1;0;0;0;0;1;0;0
"210";520;525;0;1;0;0;0;1;0;0
"211";614;614;0;0;1;0;0;1;0;0
"212";508;510;0;0;0;0;1;0;0;1
"213";534;547;0;1;0;0;0;0;1;0
"214";480;NA;0;0;0;1;0;1;0;0
"215";570;570;0;1;0;0;0;1;0;0
"216";NA;515;0;0;1;0;0;0;1;0
"217";536;541;1;0;0;0;0;1;0;0
"218";NA;NA;0;0;0;0;0;0;0;0
"220";500;515;0;0;1;0;0;1;0;0
"221";579;601;0;0;0;0;1;1;0;0
"222";549;552;0;0;1;0;0;1;0;0
"223";NA;545;1;0;0;0;0;1;0;0
"224";595;596;0;0;0;0;1;1;0;0
"225";534;534;0;1;0;0;0;1;0;0
"226";525;527;0;0;0;1;0;0;0;1
"227";NA;NA;0;0;0;0;0;0;0;0
"228";NA;NA;0;0;0;0;0;0;0;0
